# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1708936658.7933621,0,-0.5274074077606201,1.6682552099227905,0,0
1,1708936658.9716847,3200,-0.5274074077606201,1.6682552099227905,0.5072034001350403,2.1657004356384277
2,1708936659.6924956,6400,-0.5328030586242676,9.403508186340332,0.5072034001350403,2.1657004356384277
3,1708936659.766739,9600,-0.5328030586242676,9.403508186340332,0.5375383496284485,10.84756851196289
4,1708936660.6484296,12800,-0.4783904552459717,8.05936336517334,0.5375383496284485,10.84756851196289
5,1708936660.7553859,16000,-0.4783904552459717,8.05936336517334,0.4843200147151947,8.4399995803833
6,1708936661.5659308,19200,-0.4783904552459717,8.05936336517334,0.3968038856983185,11.881976127624512
7,1708936661.6715052,22400,-0.3968363106250763,11.402656555175781,0.3968038856983185,11.881976127624512
8,1708936662.4538374,25600,-0.3968363106250763,11.402656555175781,0.3462224006652832,11.535910606384277
9,1708936662.692855,28800,-0.35295727849006653,10.877233505249023,0.3462224006652832,11.535910606384277
10,1708936663.279912,32000,-0.35295727849006653,10.877233505249023,0.27939459681510925,8.150291442871094
11,1708936663.6603172,35200,-0.27327266335487366,8.283836364746094,0.27939459681510925,8.150291442871094
12,1708936664.068042,38400,-0.27327266335487366,8.283836364746094,0.2347363531589508,9.646717071533203
13,1708936664.5978982,41600,-0.2330387979745865,9.576706886291504,0.2347363531589508,9.646717071533203
14,1708936664.8971047,44800,-0.2330387979745865,9.576706886291504,0.19793233275413513,9.521893501281738
15,1708936665.5538094,48000,-0.1738639622926712,7.241611480712891,0.19793233275413513,9.521893501281738
16,1708936665.6902764,51200,-0.1738639622926712,7.241611480712891,0.147880420088768,6.153818130493164
17,1708936666.4538972,54400,-0.1738639622926712,7.241611480712891,0.16096730530261993,6.925100803375244
18,1708936666.5473135,57600,-0.20267991721630096,7.132526874542236,0.16096730530261993,6.925100803375244
19,1708936667.239268,60800,-0.20267991721630096,7.132526874542236,0.15680746734142303,8.77196979522705
20,1708936667.5512142,64000,-0.18694034218788147,8.694515228271484,0.15680746734142303,8.77196979522705
21,1708936668.0078964,67200,-0.18694034218788147,8.694515228271484,0.14771921932697296,8.707147598266602
22,1708936668.4992962,70400,-0.17480014264583588,8.644190788269043,0.14771921932697296,8.707147598266602
23,1708936668.8482435,73600,-0.17480014264583588,8.644190788269043,0.13919080793857574,7.8705644607543945
24,1708936669.4523323,76800,-0.1582338511943817,8.158346176147461,0.13919080793857574,7.8705644607543945
25,1708936669.6122215,80000,-0.1582338511943817,8.158346176147461,0.12328284233808517,8.908303260803223
26,1708936670.4380817,83200,-0.12379204481840134,11.759084701538086,0.12328284233808517,8.908303260803223
27,1708936670.4590912,86400,-0.12379204481840134,11.759084701538086,0.09427838027477264,11.996744155883789
28,1708936671.2086651,89600,-0.12379204481840134,11.759084701538086,0.09306216239929199,15.320984840393066
29,1708936671.380548,92800,-0.11902517825365067,16.19896697998047,0.09306216239929199,15.320984840393066
30,1708936671.9400256,96000,-0.11902517825365067,16.19896697998047,0.0798611044883728,10.805761337280273
31,1708936672.2644198,99200,-0.09598992019891739,9.229835510253906,0.0798611044883728,10.805761337280273
32,1708936672.6789634,102400,-0.09598992019891739,9.229835510253906,0.0638182982802391,8.33462905883789
33,1708936673.1139462,105600,-0.09141366928815842,7.3870697021484375,0.0638182982802391,8.33462905883789
34,1708936673.3649116,108800,-0.09141366928815842,7.3870697021484375,0.06430953741073608,7.248641490936279
35,1708936673.9959464,112000,-0.08955180644989014,9.141719818115234,0.06430953741073608,7.248641490936279
36,1708936674.0903394,115200,-0.08955180644989014,9.141719818115234,0.06387615948915482,9.765996932983398
37,1708936674.7494988,118400,-0.08955180644989014,9.141719818115234,0.057472869753837585,9.429509162902832
38,1708936674.868558,121600,-0.07878534495830536,9.701888084411621,0.057472869753837585,9.429509162902832
39,1708936675.4474432,124800,-0.07878534495830536,9.701888084411621,0.053533218801021576,8.641685485839844
40,1708936675.7810447,128000,-0.08191428333520889,8.22840404510498,0.053533218801021576,8.641685485839844
41,1708936676.1513052,131200,-0.08191428333520889,8.22840404510498,0.058090221136808395,8.29858684539795
42,1708936676.6362581,134400,-0.10567022860050201,7.4436821937561035,0.058090221136808395,8.29858684539795
43,1708936676.8135388,137600,-0.10567022860050201,7.4436821937561035,0.07592739909887314,6.916125297546387
44,1708936677.5354667,140800,-0.10567022860050201,7.4436821937561035,0.06914719194173813,8.6300630569458
45,1708936677.552178,144000,-0.10627666115760803,7.375741481781006,0.06914719194173813,8.6300630569458
46,1708936678.1979916,147200,-0.10627666115760803,7.375741481781006,0.07872437685728073,7.832843780517578
47,1708936678.471097,150400,-0.12607456743717194,8.828211784362793,0.07872437685728073,7.832843780517578
48,1708936678.91183,153600,-0.12607456743717194,8.828211784362793,0.08413472026586533,6.239496231079102
49,1708936679.2948484,156800,-0.12393657863140106,6.438509941101074,0.08413472026586533,6.239496231079102
